Date & Time,use [kW],gen [kW],Electronics closet [kW],Office outlets 2 [kW],Dishwasher &amp; disposal [kW],Hot tub [kW],HP #3 [kW],HP #2 [kW],HP #1 [kW],Wall oven [kW],ERV + humidifier + fountain [kW],Freezer + gallery lights [kW],Phoenix boiler [kW]
2015-12-28 14:41:00,4.67505,0.0,0.075633333,0.005416667,0.0003,0.044783333,0.011483333,4.418516667,0.004983333,0.000733333,0.006366667,0.10005,0.00825
2015-12-28 14:42:00,4.653583333,0.0,0.075683333,0.005616667,0.0003,0.0448,0.011516667,4.397016667,0.005016667,0.000733333,0.006383333,0.09975,0.008233333
2015-12-28 14:43:00,4.675083333,0.0,0.075683333,0.005333333,0.0003,0.0447,0.012266667,4.418566667,0.00495,0.000766667,0.006383333,0.099433333,0.008233333
2015-12-28 14:44:00,6.565166667,0.0,0.075566667,0.005416667,0.0003,0.044966667,0.012866667,4.48925,1.8251,0.0014,0.006366667,0.098516667,0.008216667
2015-12-28 14:45:00,9.872116667,0.0,0.07545,0.005366667,0.00025,0.045433333,0.012183333,4.64505,4.97785,0.0024,0.00635,0.098366667,0.008216667
2015-12-28 14:46:00,11.025533333,0.0,0.075366667,0.0054,0.000266667,0.045683333,1.054666667,4.6795,5.054833333,0.002533333,0.006333333,0.097816667,0.0082
2015-12-28 14:47:00,12.833016667,0.0,0.07525,0.005316667,0.000266667,0.046133333,2.802466667,4.700633333,5.093866667,0.002683333,0.006333333,0.09725,0.008183333
2015-12-28 14:48:00,10.9623,0.0,0.075233333,0.005483333,0.000266667,0.045766667,2.91775,4.750166667,3.058033333,0.002,0.0063,0.097083333,0.008216667
2015-12-28 14:49:00,6.641716667,0.0,0.075383333,0.0054,0.0003,0.045016667,1.725816667,4.6641,0.015266667,0.00095,0.00635,0.0968,0.008233333
2015-12-28 14:50:00,4.9485,0.0,0.075566667,0.0055,0.000316667,0.044833333,0.011866667,4.69485,0.004883333,0.00075,0.00635,0.096816667,0.008266667
2015-12-28 14:51:00,1.0082,0.0,0.075716667,0.0054,0.0003,0.044216667,0.00925,0.754133333,0.00805,0.00015,0.006366667,0.096633333,0.008283333
2015-12-28 14:52:00,0.26545,0.0,0.0757,0.005516667,0.0003,0.044166667,0.00875,0.011383333,0.0088,0.0,0.006366667,0.096183333,0.008283333
2015-12-28 14:53:00,0.265333333,0.0,0.075633333,0.005633333,0.0003,0.044216667,0.008683333,0.011333333,0.008783333,0.0,0.006366667,0.096116667,0.008266667
2015-12-28 14:54:00,0.260683333,0.0,0.075633333,0.007583333,0.0003,0.044233333,0.0087,0.012116667,0.0088,0.0,0.006383333,0.08865,0.008283333
2015-12-28 14:55:00,0.932416667,0.0,0.075616667,0.009266667,0.0003,0.044316667,0.009283333,0.762916667,0.007966667,0.000133333,0.00645,0.008133333,0.0083
2015-12-28 14:56:00,4.934566667,0.0,0.075483333,0.006016667,0.000316667,0.044816667,0.012533333,4.7687,0.004683333,0.0008,0.006433333,0.008083333,0.0083
2015-12-28 14:57:00,5.123416667,0.0,0.075516667,0.0073,0.0003,0.044766667,0.013616667,4.955533333,0.004466667,0.000866667,0.006416667,0.008083333,0.008283333
2015-12-28 14:58:00,5.214933333,0.0,0.075533333,0.00555,0.0003,0.044766667,0.01365,5.0488,0.004366667,0.000833333,0.006433333,0.008083333,0.008283333
2015-12-28 14:59:00,6.360533333,0.0,0.075433333,0.005383333,0.0003,0.04495,1.109916667,5.098816667,0.003933333,0.000966667,0.006416667,0.008083333,0.008266667
2015-12-28 15:00:00,5.011083333,0.0,0.0755,0.005383333,0.0003,0.0449,2.834766667,2.022133333,0.005916667,0.000633333,0.006433333,0.008083333,0.0083
2015-12-28 15:01:00,3.110583333,0.0,0.075583333,0.005283333,0.000283333,0.044816667,2.944733333,0.0095,0.00775,0.000266667,0.006466667,0.008116667,0.008316667
2015-12-28 15:02:00,1.299133333,0.0,0.0757,0.005366667,0.0003,0.044383333,1.131616667,0.010633333,0.008333333,0.000133333,0.006466667,0.008133333,0.008333333
2015-12-28 15:03:00,0.177533333,0.0,0.075666667,0.005333333,0.000316667,0.04425,0.008783333,0.011416667,0.008833333,0.0,0.006466667,0.008133333,0.008333333
2015-12-28 15:04:00,4.0072,0.0,0.075583333,0.005333333,0.000283333,0.044783333,0.011283333,3.8423,0.005416667,0.000633333,0.00645,0.0081,0.0083
2015-12-28 15:05:00,4.918266667,0.0,0.075583333,0.005416667,0.000316667,0.044866667,0.011783333,4.75345,0.00475,0.000766667,0.006433333,0.008116667,0.008316667
2015-12-28 15:06:00,5.00355,0.0,0.075483333,0.005416667,0.0003,0.0449,0.011783333,4.838916667,0.004716667,0.0008,0.006433333,0.0081,0.0083
2015-12-28 15:07:00,5.053833333,0.0,0.075533333,0.005383333,0.0003,0.044933333,0.011816667,4.8892,0.004666667,0.000833333,0.006433333,0.008083333,0.008316667
2015-12-28 15:08:00,5.082966667,0.0,0.075516667,0.005433333,0.0003,0.0449,0.011866667,4.918366667,0.004583333,0.0008,0.006416667,0.0081,0.008283333
2015-12-28 15:09:00,3.393966667,0.0,0.075566667,0.005383333,0.0003,0.044516667,0.011983333,3.2281,0.00585,0.000533333,0.006416667,0.008083333,0.0083
2015-12-28 15:10:00,0.179116667,0.0,0.075716667,0.00535,0.0003,0.044016667,0.010633333,0.01165,0.008566667,3.3333e-05,0.00645,0.008133333,0.008333333
2015-12-28 15:11:00,0.178616667,0.0,0.075666667,0.00535,0.0003,0.044016667,0.0106,0.011233333,0.0086,3.3333e-05,0.006433333,0.008133333,0.008316667
2015-12-28 15:12:00,1.818383333,0.0,0.075666667,0.0053,0.0003,0.044433333,1.651716667,0.010233333,0.00805,0.000166667,0.00645,0.0081,0.0083
2015-12-28 15:13:00,3.04235,0.0,0.075616667,0.005333333,0.000283333,0.0448,2.876583333,0.00945,0.007716667,0.000266667,0.006416667,0.008116667,0.0083
2015-12-28 15:14:00,4.6294,0.0,0.07545,0.005383333,0.0003,0.044866667,1.913583333,2.561916667,0.00575,0.000633333,0.0064,0.0081,0.008283333
2015-12-28 15:15:00,5.076816667,0.0,0.075483333,0.0054,0.0003,0.044866667,0.012066667,4.912083333,0.0046,0.0008,0.006416667,0.0081,0.0083
2015-12-28 15:16:00,5.213433333,0.0,0.07545,0.0054,0.0003,0.044883333,0.011933333,5.04905,0.004483333,0.0008,0.006383333,0.008083333,0.008266667
2015-12-28 15:17:00,5.291183333,0.0,0.0754,0.00535,0.0003,0.04485,0.011966667,5.127016667,0.004416667,0.00085,0.006383333,0.008083333,0.008266667
2015-12-28 15:18:00,2.2652,0.0,0.075533333,0.005383333,0.0003,0.044333333,0.01,2.100383333,0.006866667,0.000366667,0.0064,0.008083333,0.008283333
2015-12-28 15:19:00,0.176733333,0.0,0.075616667,0.005283333,0.0003,0.044133333,0.008633333,0.011166667,0.008816667,1.6667e-05,0.006416667,0.0081,0.008283333
2015-12-28 15:20:00,0.176766667,0.0,0.0756,0.005333333,0.0003,0.04415,0.008633333,0.011166667,0.008766667,0.0,0.006416667,0.008116667,0.008283333
2015-12-28 15:21:00,0.17735,0.0,0.07555,0.005333333,0.0003,0.0441,0.0094,0.011133333,0.00875,0.0,0.0064,0.0081,0.008283333
2015-12-28 15:22:00,0.178583333,0.0,0.07575,0.00535,0.0003,0.044,0.01055,0.0112,0.008683333,3.3333e-05,0.006416667,0.008083333,0.008283333
2015-12-28 15:23:00,0.178716667,0.0,0.0757,0.0054,0.000283333,0.044,0.010616667,0.011216667,0.008733333,3.3333e-05,0.006416667,0.0081,0.008283333
2015-12-28 15:24:00,1.094733333,0.0,0.075583333,0.0053,0.000316667,0.044283333,0.92755,0.010616667,0.008416667,0.0001,0.0064,0.008083333,0.008283333
2015-12-28 15:25:00,2.922816667,0.0,0.075466667,0.0054,0.000283333,0.044733333,2.757116667,0.009483333,0.007833333,0.000266667,0.0064,0.0081,0.008266667
2015-12-28 15:26:00,3.063216667,0.0,0.075466667,0.00535,0.0003,0.04475,2.897666667,0.009433333,0.00775,0.000266667,0.0064,0.008083333,0.008283333
2015-12-28 15:27:00,3.113833333,0.0,0.075466667,0.005533333,0.000316667,0.044766667,2.948066667,0.009416667,0.007733333,0.000266667,0.006416667,0.0081,0.008283333
2015-12-28 15:28:00,3.203966667,0.0,0.075516667,0.005516667,0.0003,0.044766667,2.9831,0.00935,0.007633333,0.000283333,0.06175,0.00805,0.008266667
2015-12-28 15:29:00,1.338383333,0.0,0.07555,0.005383333,0.0003,0.044216667,0.5049,0.597266667,0.0078,0.000166667,0.086783333,0.008066667,0.008283333
2015-12-28 15:30:00,5.062316667,0.0,0.075383333,0.00555,0.0003,0.044783333,0.011733333,4.818866667,0.004566667,0.000783333,0.085616667,0.008033333,0.008266667
2015-12-28 15:31:00,5.263483333,0.0,0.075366667,0.0054,0.0003,0.044816667,0.011916667,5.074033333,0.00435,0.000816667,0.031783333,0.008066667,0.008266667
2015-12-28 15:32:00,4.2587,0.0,0.075416667,0.005466667,0.0003,0.04465,0.0113,4.094283333,0.005183333,0.000683333,0.006433333,0.008083333,0.008266667
2015-12-28 15:33:00,0.17755,0.0,0.075783333,0.0054,0.0003,0.0441,0.008633333,0.011833333,0.008666667,1.6667e-05,0.00645,0.008116667,0.008283333
2015-12-28 15:34:00,0.1772,0.0,0.07615,0.0053,0.0003,0.044133333,0.008616667,0.011183333,0.008716667,0.0,0.006433333,0.008083333,0.008283333
2015-12-28 15:35:00,0.1773,0.0,0.0761,0.005366667,0.0003,0.044166667,0.008633333,0.011116667,0.0088,1.6667e-05,0.006433333,0.008116667,0.008283333
2015-12-28 15:36:00,0.17875,0.0,0.0761,0.0054,0.0003,0.044,0.010283333,0.0112,0.008683333,3.3333e-05,0.006433333,0.0081,0.008283333
2015-12-28 15:37:00,0.179083333,0.0,0.07615,0.005433333,0.0003,0.044,0.010566667,0.011183333,0.008683333,3.3333e-05,0.006433333,0.008083333,0.008283333
2015-12-28 15:38:00,0.179066667,0.0,0.07615,0.0054,0.000283333,0.044016667,0.01055,0.011216667,0.008666667,1.6667e-05,0.006416667,0.0081,0.008283333
2015-12-28 15:39:00,0.177833333,0.0,0.076233333,0.005383333,0.0003,0.044166667,0.0089,0.01125,0.008783333,0.0,0.006433333,0.0081,0.008283333
2015-12-28 15:40:00,1.656216667,0.0,0.076166667,0.005333333,0.0003,0.044366667,0.009666667,1.490433333,0.0074,0.00025,0.006433333,0.008083333,0.008283333
2015-12-28 15:41:00,4.83705,0.0,0.076033333,0.00535,0.0003,0.0448,0.01165,4.672166667,0.004783333,0.000783333,0.0064,0.008083333,0.008266667
2015-12-28 15:42:00,5.0585,0.0,0.076016667,0.005333333,0.0003,0.044833333,0.011783333,4.893766667,0.00455,0.000816667,0.0064,0.008066667,0.008266667
2015-12-28 15:43:00,5.025416667,0.0,0.07605,0.0054,0.0003,0.044833333,0.01175,4.8606,0.004583333,0.0008,0.0064,0.008033333,0.008266667
2015-12-28 15:44:00,4.865183333,0.0,0.07605,0.005366667,0.0003,0.0448,0.01165,4.70045,0.0047,0.000766667,0.006383333,0.008,0.00825
2015-12-28 15:45:00,0.757516667,0.0,0.076183333,0.00545,0.000283333,0.044183333,0.009016667,0.5916,0.00815,0.000133333,0.006433333,0.00805,0.0083
2015-12-28 15:46:00,0.178966667,0.0,0.076233333,0.005616667,0.0003,0.043983333,0.010316667,0.011116667,0.008683333,3.3333e-05,0.006416667,0.00805,0.008283333
2015-12-28 15:47:00,0.179133333,0.0,0.076283333,0.0054,0.0003,0.044,0.01055,0.01115,0.008666667,1.6667e-05,0.006433333,0.008083333,0.008283333
2015-12-28 15:48:00,0.181333333,0.0,0.076183333,0.005366667,0.000283333,0.043966667,0.010533333,0.013566667,0.008666667,3.3333e-05,0.006416667,0.008083333,0.0083
2015-12-28 15:49:00,4.510783333,0.0,0.075983333,0.005383333,0.0003,0.0448,2.309366667,1.963216667,0.006016667,0.000566667,0.006316667,0.09175,0.008216667
2015-12-28 15:50:00,5.6469,0.0,0.076033333,0.005383333,0.0003,0.044833333,0.87305,4.515933333,0.004483333,0.000866667,0.006283333,0.113266667,0.0082
2015-12-28 15:51:00,4.856966667,0.0,0.076,0.00545,0.0003,0.044783333,0.011583333,4.59075,0.00475,0.000766667,0.006283333,0.109616667,0.008216667
2015-12-28 15:52:00,4.890933333,0.0,0.076016667,0.005416667,0.0003,0.0448,0.011633333,4.626166667,0.004716667,0.000766667,0.006283333,0.10815,0.008216667
2015-12-28 15:53:00,4.9154,0.0,0.076033333,0.0054,0.0003,0.044833333,0.01165,4.651466667,0.004716667,0.000783333,0.006266667,0.1073,0.008216667
2015-12-28 15:54:00,4.897083333,0.0,0.076066667,0.005416667,0.0003,0.044833333,0.0116,4.63395,0.00475,0.000783333,0.0063,0.106433333,0.008216667
2015-12-28 15:55:00,4.840683333,0.0,0.075883333,0.00545,0.000283333,0.044766667,0.011533333,4.578383333,0.004783333,0.000766667,0.006283333,0.105883333,0.0082
2015-12-28 15:56:00,4.8317,0.0,0.075916667,0.006616667,0.000316667,0.044783333,0.01155,4.568866667,0.004766667,0.000766667,0.0063,0.105116667,0.008233333
2015-12-28 15:57:00,4.845366667,0.0,0.075966667,0.009333333,0.0003,0.04475,0.012866667,4.57975,0.004716667,0.000766667,0.0063,0.103916667,0.008233333
2015-12-28 15:58:00,4.856333333,0.0,0.075983333,0.006433333,0.0003,0.0447,0.01335,4.594116667,0.004683333,0.000816667,0.0063,0.10305,0.008233333
2015-12-28 15:59:00,4.87425,0.0,0.07595,0.00715,0.0003,0.044683333,0.013316667,4.612,0.004666667,0.000816667,0.0063,0.102466667,0.008233333
2015-12-28 16:00:00,6.739416667,0.0,0.075933333,0.005733333,0.000283333,0.045033333,1.888366667,4.605,0.004016667,0.000966667,0.006283333,0.101516667,0.008216667
2015-12-28 16:01:00,5.3982,0.0,0.075983333,0.005433333,0.0003,0.04485,0.709333333,4.4425,0.00465,0.000833333,0.006316667,0.101416667,0.00825
2015-12-28 16:02:00,4.555233333,0.0,0.076016667,0.00535,0.0003,0.0448,0.011483333,4.297483333,0.005066667,0.0007,0.006333333,0.10085,0.00825
2015-12-28 16:03:00,4.544383333,0.0,0.076033333,0.005383333,0.0003,0.0448,0.011433333,4.28735,0.005066667,0.000716667,0.006333333,0.10015,0.00825
2015-12-28 16:04:00,4.615666667,0.0,0.07605,0.005416667,0.0003,0.044816667,0.011416667,4.358816667,0.005,0.000716667,0.006316667,0.100016667,0.008233333
2015-12-28 16:05:00,4.632466667,0.0,0.076,0.005416667,0.0003,0.0448,0.011416667,4.376366667,0.004983333,0.0007,0.0063,0.09935,0.008233333
2015-12-28 16:06:00,7.486516667,0.0,0.0759,0.005366667,0.000283333,0.0453,0.01065,4.307283333,2.9302,0.001716667,0.0063,0.098733333,0.008216667
2015-12-28 16:07:00,9.429533333,0.0,0.075783333,0.005316667,0.00025,0.045566667,0.0103,4.4154,4.76625,0.0023,0.006283333,0.098466667,0.008216667
2015-12-28 16:08:00,9.563983333,0.0,0.075733333,0.005383333,0.000266667,0.045483333,0.011683333,4.468683333,4.846883333,0.00235,0.006283333,0.097733333,0.0082
2015-12-28 16:09:00,9.69445,0.0,0.075766667,0.005366667,0.000266667,0.045466667,0.012066667,4.5248,4.921166667,0.0024,0.006266667,0.097483333,0.0082
2015-12-28 16:10:00,9.4908,0.0,0.075683333,0.0053,0.000266667,0.045383333,0.012,4.418266667,4.82465,0.00235,0.006283333,0.097116667,0.0082
